WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Kisangani,CD,0.5167,25.2,80.6,72,100,1.03,overcast clouds
126,Atuona,PF,-9.8,-139.0333,77.0,80,96,12.24,light rain
127,Praia,CV,14.9215,-23.5087,86.54,54,0,18.41,clear sky
128,Constitucion,CL,-35.3333,-72.4167,64.54,71,11,11.03,few clouds
129,Wasilla,US,61.5814,-149.4394,8.44,71,90,13.8,overcast clouds
130,Macas,EC,-2.3167,-78.1167,71.35,83,75,0.0,light rain
131,Cap Malheureux,MU,-19.9842,57.6142,79.29,83,43,10.31,scattered clouds
132,Madang,PG,-5.2246,145.7966,77.34,88,96,3.06,overcast clouds
133,Kapaa,US,22.0752,-159.319,77.32,82,90,12.66,light rain
134,Saint George,US,37.1041,-113.5841,48.67,45,1,0.0,clear sky
135,Lavrentiya,RU,65.5833,-171.0,-0.58,91,14,10.16,few clouds
136,Mahebourg,MU,-20.4081,57.7,79.09,69,40,6.91,scattered clouds
137,Norman Wells,CA,65.282,-126.8329,-20.16,76,75,2.3,light snow
138,Camacha,PT,33.0833,-16.3333,70.56,73,40,4.61,scattered clouds
139,Airai,TL,-8.9266,125.4092,62.92,90,53,0.58,broken clouds
140,Dikson,RU,73.5069,80.5464,-2.27,97,100,16.17,light snow
141,Puerto Leguizamo,CO,-0.1934,-74.7819,78.82,89,100,4.16,overcast clouds
142,Acari,PE,-15.4311,-74.6158,74.5,62,100,8.28,overcast clouds
143,Waslala,NI,13.2333,-85.3833,77.34,71,100,3.69,overcast clouds
144,Mount Isa,AU,-20.7333,139.5,80.37,32,40,1.14,light rain
145,Rawson,AR,-43.3002,-65.1023,76.32,27,88,23.85,overcast clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,75,11.5,broken clouds
147,Jamestown,US,42.097,-79.2353,32.72,90,40,7.0,mist
148,Khartoum,SD,15.5518,32.5324,90.01,26,65,1.01,broken clouds
149,Salta,AR,-24.7859,-65.4117,77.29,66,75,5.99,broken clouds
150,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.33,48,65,1.68,broken clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,0,10.36,clear sky
152,Ahipara,NZ,-35.1667,173.1667,58.95,84,87,5.19,overcast clouds
153,Port Keats,AU,-14.25,129.55,84.49,75,39,8.86,scattered clouds
154,Poum,NC,-20.2333,164.0167,78.12,80,100,8.3,overcast clouds
155,Juquitiba,BR,-23.9317,-47.0683,92.08,25,15,5.59,few clouds
156,Aasiaat,GL,68.7098,-52.8699,-2.65,87,59,18.3,broken clouds
157,Ipubi,BR,-7.6519,-40.1489,96.66,26,100,4.9,overcast clouds
158,Severo-Kurilsk,RU,50.6789,156.125,37.17,94,100,28.14,light rain
159,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,83,40,15.01,scattered clouds
160,Kombissiri,BF,12.0656,-1.3375,100.38,10,1,12.73,clear sky
